 Supplementary Table 1. Detailed information of the maize inbred lines used in this study					
Sample ID	Inbred line name	Breeding era	Origin	 Subgroup	Heterotic group
340	HB322	II	Heilongjiang,China	Lancaster 1	NSS
341	HB355	II	Heilongjiang,China	1odent	Iodent
342	HB448	II	Heilongjiang,China	1odent	Iodent
343	1125	II	Heilongjiang,China	Lancaster 2	NSS
344	1186	II	Heilongjiang,China	Lancaster 2	NSS
345	HB410	II	Heilongjiang,China	1odent	Iodent
346	T6896	II	Heilongjiang,China	Lancaster 2	NSS
347	T7304	II	Heilongjiang,China	1odent	Iodent
348	T7309	II	Heilongjiang,China	1odent	Iodent
349	T33299	II	Heilongjiang,China	Admix	Admix
350	T33448	II	Heilongjiang,China	Admix	Admix
351	T33169	II	Heilongjiang,China	1odent	Iodent
352	T26403	II	Heilongjiang,China	Admix	Admix
353	CGNS	II	Heilongjiang,China	Admix	Admix
354	FZ13	II	Heilongjiang,China	Admix	Admix
355	P7-2	II	Heilongjiang,China	1odent	Iodent
356	SVAP7	II	Heilongjiang,China	Admix	Admix
357	T51023	II	Heilongjiang,China	1odent	Iodent
358	T53497	II	Heilongjiang,China	Admix	Admix
359	T53681	II	Heilongjiang,China	Admix	Admix
360	T54485	II	Heilongjiang,China	Lancaster 2	NSS
361	T58050	II	Heilongjiang,China	1odent	Iodent
362	T58547	II	Heilongjiang,China	Lancaster 2	NSS
363	T58765	II	Heilongjiang,China	1odent	Iodent
364	UMN10	II	Heilongjiang,China	Admix	Admix
365	XF-1	II	Heilongjiang,China	Amargo	SS
366	Ji853	I	Jilin,China	SPT 1	SPT
367	SCML202	I	Yunnan,China	PA 1	PA
368	HRM8	II	Heilongjiang,China	PA 1	PA
369	HF12202	II	USA	BSSS	SS
370	Long11-M11	II	Xinjiang,China	1odent	Iodent
371	Jing24	I	Beijing,China	SPT 1	SPT
372	HRB16174	II	Heilongjiang,China	1odent	Iodent
373	KL2	I	Heilongjiang,China	Lancaster 2	NSS
374	Jia28	II	Heilongjiang,China	Admix	Admix
375	HRB16179	II	Liaoning,China	Amargo	SS
376	HR8834	II	Heilongjiang,China	Zi330	NSS
377	L203	II	Heilongjiang,China	PA 1	PA
378	HRB16193	II	Heilongjiang,China	Admix	Admix
379	Zhe931	Unknown	Jilin,China	SPT 1	SPT
380	Zhe461	I	Inner Mongolia,China	SPT 1	SPT
381	HRU322	II	Heilongjiang,China	Admix	Admix
382	HRP3814	II	Heilongjiang,China	PB	PB
383	HRB16041	II	Heilongjiang,China	Admix	Admix
384	HRB16045	II	Heilongjiang,China	Admix	Admix
385	HRB16046	II	Heilongjiang,China	Lancaster 2	NSS
386	HRB16086	II	Heilongjiang,China	Lancaster 2	NSS
387	HRB16070	II	Heilongjiang,China	Lancaster 1	NSS
388	HRB16072	II	Heilongjiang,China	Lancaster 1	NSS
389	HRB16073	II	Heilongjiang,China	Lancaster 1	NSS
390	HRB16001	II	Heilongjiang,China	Admix	Admix
391	HRB16049	II	Heilongjiang,China	Admix	Admix
392	HRB16026	II	Heilongjiang,China	Zi330	NSS
393	HRB16027	II	Heilongjiang,China	Admix	Admix
394	HRB16031	II	Heilongjiang,China	Admix	Admix
395	HRB16014	II	Heilongjiang,China	BSSS	SS
396	HRB16037	II	Heilongjiang,China	Admix	Admix
397	HRB16033	II	Heilongjiang,China	Admix	Admix
398	HRB16034	II	Heilongjiang,China	Lancaster 2	NSS
399	HRB16060	II	Heilongjiang,China	Admix	Admix
400	HRB16061	II	Heilongjiang,China	Lancaster 2	NSS
401	HRB16078	II	Heilongjiang,China	Lancaster 2	NSS
402	HRB16025	II	Heilongjiang,China	Admix	Admix
403	HRB16008	II	Heilongjiang,China	Admix	Admix
404	HRB16088	II	Heilongjiang,China	Lancaster 2	NSS
405	HRB16038	II	Heilongjiang,China	Admix	Admix
406	HRB16074	II	Heilongjiang,China	Admix	Admix
407	HRB16053	II	Heilongjiang,China	Lancaster 2	NSS
408	HRB16092	II	Heilongjiang,China	Lancaster 2	NSS
409	HRB16093	II	Heilongjiang,China	Lancaster 2	NSS
410	HRB16085	II	Heilongjiang,China	BSSS	SS
411	HRB16095	II	Heilongjiang,China	Lancaster 2	NSS
412	HRB16044	II	Heilongjiang,China	PA 1	PA
413	HRB16055	II	Heilongjiang,China	PA 2	PA
414	Zhe614	I	Inner Mongolia,China	SPT 1	SPT
415	HRK41	II	Heilongjiang,China	PA 2	PA
416	Chengzi108	II	Sichuan,China	PB	PB
417	DK411	Unknown	Heilongjiang,China	1odent	Iodent
418	DKM8	II	Heilongjiang,China	Admix	Admix
419	Dong96	I	Heilongjiang,China	Lancaster 2	NSS
420	HR118Gai	II	Heilongjiang,China	Lancaster 2	NSS
421	HR1217	II	Heilongjiang,China	Admix	Admix
422	HR3837	II	Heilongjiang,China	PB	PB
423	HR6564	II	Heilongjiang,China	PA 1	PA
424	HR73	II	Heilongjiang,China	Admix	Admix
425	HRB16198	Unknown	China	Admix	Admix
426	HRB16199	Unknown	China	Admix	Admix
427	HRB16218	I	Inner Mongolia,China	SPT 1	SPT
428	HRB16219	I	Inner Mongolia,China	Admix	Admix
429	HRB16221	II	Liaoning,China	Amargo	SS
430	HRB16223	II	Jilin,China	Amargo	SS
431	HRB16225	I	Liaoning,China	Zi330	NSS
432	HRB16234	II	Heilongjiang,China	Admix	Admix
433	HRB16244	II	Heilongjiang,China	Lancaster 2	NSS
434	HRB16262	II	Heilongjiang,China	Lancaster 2	NSS
435	HRB16272	II	Heilongjiang,China	Admix	Admix
436	HRC344	II	Heilongjiang,China	Admix	Admix
437	HRK3178	II	Heilongjiang,China	Admix	Admix
438	HRk7011	II	Heilongjiang,China	Admix	Admix
439	HRk7012	II	Heilongjiang,China	Lancaster 2	NSS
440	HRk7014	II	Heilongjiang,China	Admix	Admix
