ID	Accession	Run title	BioProject accession	Experiment accession	Run data file type	File name 1	MD5 checksum 1	DownLoad1	File name 2	MD5 checksum 2	DownLoad2	Reference file name	MD5 for reference file	Assembly Name or Accession	Assembly Accession URL	other_db	accession_in_other_db	other_db_url
27	CRR504180	Yi67	PRJCA009749	CRX444586	fastq	CRR504180_f1.fq.gz (2896794420 bytes)	0481f169d7761edb579007fa8fd05147	ftp://download.big.ac.cn/gsa/CRA007020/CRR504180/CRR504180_f1.fq.gz	CRR504180_r2.fq.gz (3071097670 bytes)	21925ede5cf384014726870063a62246	ftp://download.big.ac.cn/gsa/CRA007020/CRR504180/CRR504180_r2.fq.gz							
28	CRR504181	Su75	PRJCA009749	CRX444587	fastq	CRR504181_f1.fq.gz (3002595557 bytes)	96a3a65ff2d6f797f4ecc659084d70c4	ftp://download.big.ac.cn/gsa/CRA007020/CRR504181/CRR504181_f1.fq.gz	CRR504181_r2.fq.gz (3194190123 bytes)	e0f221fd76ef24156411a0d578d09be5	ftp://download.big.ac.cn/gsa/CRA007020/CRR504181/CRR504181_r2.fq.gz							
29	CRR504182	Ji4112	PRJCA009749	CRX444588	fastq	CRR504182_f1.fq.gz (3808963248 bytes)	5f7470a9d7fdc033c90463088b3c981a	ftp://download.big.ac.cn/gsa/CRA007020/CRR504182/CRR504182_f1.fq.gz	CRR504182_r2.fq.gz (4081356333 bytes)	f459da83d0551c1d4e7aee445d452dc4	ftp://download.big.ac.cn/gsa/CRA007020/CRR504182/CRR504182_r2.fq.gz							
30	CRR504183	W499	PRJCA009749	CRX444589	fastq	CRR504183_f1.fq.gz (3549700105 bytes)	5b112db8a0a65e9256e49c636fdce1a3	ftp://download.big.ac.cn/gsa/CRA007020/CRR504183/CRR504183_f1.fq.gz	CRR504183_r2.fq.gz (3875028000 bytes)	ae8381b224e54e5a0f0ecd356a9a0cc7	ftp://download.big.ac.cn/gsa/CRA007020/CRR504183/CRR504183_r2.fq.gz							
31	CRR504184	D857	PRJCA009749	CRX444590	fastq	CRR504184_f1.fq.gz (3567933758 bytes)	03330d83c1bcb05b4f6fa02167efc4a9	ftp://download.big.ac.cn/gsa/CRA007020/CRR504184/CRR504184_f1.fq.gz	CRR504184_r2.fq.gz (3728134550 bytes)	59fc12945baa7d836ed7da6482282379	ftp://download.big.ac.cn/gsa/CRA007020/CRR504184/CRR504184_r2.fq.gz							
32	CRR504185	NC268	PRJCA009749	CRX444591	fastq	CRR504185_f1.fq.gz (3097684536 bytes)	660fe22f0c48ca1b262c766b50397fc1	ftp://download.big.ac.cn/gsa/CRA007020/CRR504185/CRR504185_f1.fq.gz	CRR504185_r2.fq.gz (3335560247 bytes)	bf27470c96a7fc864953085d01acfd3e	ftp://download.big.ac.cn/gsa/CRA007020/CRR504185/CRR504185_r2.fq.gz							
33	CRR504186	Zhongzi01	PRJCA009749	CRX444592	fastq	CRR504186_f1.fq.gz (2987607956 bytes)	d63b825cccd2a9d17b2123921d712393	ftp://download.big.ac.cn/gsa/CRA007020/CRR504186/CRR504186_f1.fq.gz	CRR504186_r2.fq.gz (3206150701 bytes)	ce99ad10f8881ebea759c1e6e92de638	ftp://download.big.ac.cn/gsa/CRA007020/CRR504186/CRR504186_r2.fq.gz							
34	CRR504187	Shan89	PRJCA009749	CRX444593	fastq	CRR504187_f1.fq.gz (3046382457 bytes)	b95b0d331efaf58cdbbdcb729c6bc257	ftp://download.big.ac.cn/gsa/CRA007020/CRR504187/CRR504187_f1.fq.gz	CRR504187_r2.fq.gz (3226103099 bytes)	84b449a0700078ed49f9077fedb66191	ftp://download.big.ac.cn/gsa/CRA007020/CRR504187/CRR504187_r2.fq.gz							
35	CRR504188	CT109	PRJCA009749	CRX444594	fastq	CRR504188_f1.fq.gz (3343827579 bytes)	289bbb1f1c2336541a366169fb55d9fb	ftp://download.big.ac.cn/gsa/CRA007020/CRR504188/CRR504188_f1.fq.gz	CRR504188_r2.fq.gz (3679008941 bytes)	73058cdfbc70ff5e3733397b334246dd	ftp://download.big.ac.cn/gsa/CRA007020/CRR504188/CRR504188_r2.fq.gz							
36	CRR504189	Jinghuang59	PRJCA009749	CRX444595	fastq	CRR504189_f1.fq.gz (3034015379 bytes)	fd25e57cbd7d0e65a4fd470478218460	ftp://download.big.ac.cn/gsa/CRA007020/CRR504189/CRR504189_f1.fq.gz	CRR504189_r2.fq.gz (3131443186 bytes)	117bbed8e3b75c7b2833b4f7a3ae5aa0	ftp://download.big.ac.cn/gsa/CRA007020/CRR504189/CRR504189_r2.fq.gz							
